procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74780 63720416   6960 633996    0    0     0     0 1169  160  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1141   74  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1096   76  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1122   66  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     4 1200  166  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1134   64  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1071   62  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1166  160  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1128   66  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     4 1071   66  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1146   78  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     7 1173  171  2  0 98  0  0
 1  0  74780 63720400   6960 633996    0    0     0     0 1127   69  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1093   66  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1123   66  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     4 1171  168  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1124   64  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1076   66  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1125   64  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1163  160  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1151   78  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     4 1073   66  2  0 98  0  0
 1  0  74780 63720384   6960 633996    0    0     0     0 1148   84  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1184  164  2  0 98  0  0
 1  0  74780 63720492   6960 633996    0    0     0     0 1126   64  2  0 98  0  0
