procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 115480 62497636   7804 949460    0    0 46752     6 8054 15322  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 46466     0 8062 15425  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 46794     2 8101 15419  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 46142     0 7974 15275  2  0 97  0  0
 2  0 115480 62497132   7804 949460    0    0 46126     0 7985 15257  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 45976   114 7931 15200  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 46292     0 7929 15107  2  0 97  0  0
 1  1 115480 62497132   7804 949460    0    0 46190   124 7964 15115  2  0 97  0  0
 1  1 115480 62496256   7804 949748    0    0 45864     9 7951 15167  2  0 97  0  0
 2  1 115480 62496256   7804 949748    0    0 46270     0 7841 14984  2  0 98  0  0
 1  1 115480 62496256   7804 949748    0    0 45818     0 7961 15127  2  0 97  0  0
 1  1 115480 62496256   7804 949748    0    0 46094     0 7884 15079  2  0 97  0  0
 1  1 115480 62496256   7804 949748    0    0 46384     0 8349 15099  2  0 97  0  0
 1  1 115480 62496256   7804 949748    0    0 45926     0 8807 15236  2  0 97  0  0
 1  1 115480 62496136   7804 949748    0    0 46184     0 8339 15278  2  0 97  0  0
 1  1 115480 62496136   7804 949748    0    0 46568     0 8015 15231  2  0 97  0  0
 1  1 115480 62496136   7804 949748    0    0 46472     0 7999 15270  2  0 98  0  0
 1  1 115480 62495640   7804 949748    0    0 46628     0 8028 15415  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46940     0 8125 15518  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46582     0 7965 15215  2  0 97  0  0
 2  0 115480 62495520   7804 950016    0    0 46342     2 8030 15263  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46694     0 7975 15217  2  0 97  0  0
 2  0 115480 62495520   7804 950016    0    0 46784   226 8060 15407  2  0 97  0  0
 1  0 115480 62495520   7804 950016    0    0 46226     3 7940 15211  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46276     0 7979 15287  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46504    38 7961 15196  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46200     0 7995 15153  2  0 97  0  0
 1  1 115480 62495520   7804 950016    0    0 46350    36 7949 15146  2  0 97  0  0
 1  1 115480 62495024   7804 950292    0    0 46026     0 7923 15010  2  0 97  0  0
